filename,ms
0845e72881a734b07f1c684ed6465d18666c05f5b99f86b47d0306316b40516d_0014.png,484.772
0dc2c836a87e17da16765b2106665a46a8717da4bc633ce35982ccbf41dcae96_0151.png,444.050
1c10f9fc77039e19fe2cd3377b8e95c4d55eb358202ac444b9b2a2a5ee79ca01_0013.png,541.571
2da45643b13d77c043fdfc40b1869ccd0fdfec0cfcbb0ae3ccd706e927712f39_0042.png,716.103
2ef60a7ecbc03e09be8437b7d3c7b099a25069d0be108968d93e3f92fbc0ac33_0044.png,712.962
43210a2cc24df60b30ae934c7f5d5ad908cd47e1895efce2f228e2599687f421_0010.png,696.033
4fc556c8d70dca3be5ddb83d96e4200f2da4c325fe3f7ffe680eccd162d2608b_0018.png,694.135
5add1ac26064410a4dc46c41fdbc530f85dbc7af6103d31e57a1f4814f8ab964_0162.png,438.420
5d50d1d6888d6e97d4cddddc90ff3681856c67b664c5eaee0d4f4a2c59959733_0099.png,433.443
6b0748bbee3583ef05429a3d43099fb74939058bb76d56465d802f21ce835120_0045.png,400.216
700fef03c38d18400e59455dfc475178dbfae5df4f53b067b627e4b7b39d5f75_0160.png,426.600
9cbefdde84940335ea820a689ecd6ade03d5294facdf0d6f745ac95c6e0a8531_0054.png,411.380
a58fe88602492bc2fadfd2285ff61379bea5459358eb2a8c44d222a0fb08eb39_0048.png,407.269
cbdfa2821c5e3ff670df52fe31add3979ad78c84fbe98db20fa3e3986589a53a_0000.png,404.383
cff6d27326cb171921018a7d362519ff69122219e77fd07ef0d3a1e8e6bce928_0002.png,412.501
d811f9ce79742ff715dcc00f54edb24880553b50af2750e4d37198df1b3d6691_0066.png,403.987
dce1d9cbcea54c7f954e625eaa1f9e1af2faf22d4220f80ecfc9411cd2b643e9_0017.png,409.925
ea90c8eb525c70861525972370a1aa373480b1e8b3a7fdec0a779acf150f6f7d_0246.png,417.879
f2f98f4c167a8680234d3157a352732ed42f8d4e6f49ea630bc36dac0baaad34_0147.png,414.807
fa62aedb2b0ee2db9a641eb4ed4dc22101e4dc5cbf670b69346c0936d52068a8_0036.png,574.384
